type w q nm qr ed no co qe eqe qre eqre rq rqr dq dqr
fw 1 0.0972222222222 2 0.222222222222 18 9 0.222222222222 0.243236664166 0.0045688239254 0.265812378565 0.0124534545542 6 143 -0.1460144419438 -0.043590156343
fw 3 0.251932223543 4 0.152542372881 59 22 0.121900826446 0.295149656309 0.00242715224433 0.129835243156 0.007643082973 128 115 -0.043217432766 0.022707129725
fw 4 0.26 3 0.2 5 6 0.138888888889 0.263320559537 0.0101468078412 0.601495447881 0.0205663329515 137 134.5 -0.003320559537 -0.401495447881
fw 5 0.0493827160494 2 0.111111111111 27 9 0.333333333333 0.171284285143 0.0032728572762 0.146598721041 0.0116306103258 1 100 -0.1219015690936 -0.03548760993
fw 6 0.118011193397 3 -0.0526315789474 133 23 0.251417769376 0.166537484964 0.00122489274596 -0.099995526437 0.00656624658193 18 37 -0.048526291567 0.0473639474896
fw 7 0.276664932362 4 0.161290322581 62 27 0.0850480109739 0.339005854204 0.00236833181243 0.176852010528 0.00672708444762 156 116 -0.062340921842 -0.015561687947
fw 8 0.131198347107 2 0.363636363636 22 10 0.22 0.234939356343 0.00400986017457 0.226376153645 0.011740923152 27 190.5 -0.103741009236 0.137260209991
fw 9 0.417961865086 5 0.417721518987 79 37 0.0577063550037 0.38280234821 0.0021685304806 0.203245820577 0.00566142178666 268 210 0.035159516876 0.21447569841
fw 10 0.227040816327 3 0.142857142857 14 10 0.14 0.321946477491 0.00572951171693 0.390350245913 0.0136652154515 103 109.5 -0.094905661164 -0.247493103056
fw 11 0.365 3 0.4 20 14 0.102040816327 0.368328763252 0.00472678219524 0.379185201451 0.0112323055166 234 205.5 -0.00332876325199999 0.020814798549
fw 12 0.210064635272 3 0.0877192982456 57 21 0.12925170068 0.28221628994 0.00237831540611 0.116867831682 0.00741206616738 92 93 -0.072151654668 -0.0291485334364
fw 13 0.3 2 0.6 10 8 0.15625 0.301643643693 0.00691689443846 0.439586377322 0.0163470005529 181 256 -0.00164364369300002 0.160413622678
fw 14 0.256143667297 3 0.391304347826 23 13 0.136094674556 0.306783664639 0.00420472676348 0.286816326912 0.0111358377485 132 202 -0.050639997342 0.104488020914
fw 15 0.310185185185 5 0.0555555555556 36 19 0.0997229916898 0.346896329346 0.00329253777785 0.262094900855 0.00843177103839 189 82 -0.036711144161 -0.2065393452994
fw 16 0.444636678201 4 0.529411764706 17 14 0.0867346938776 0.403526947513 0.00543284818729 0.44548924114 0.0121994966153 276 240 0.041109730688 0.0839225235660001
fw 17 0.40625 3 0.5 12 11 0.099173553719 0.385101233783 0.00637970860006 0.487410472072 0.0147522914364 261 231.5 0.021148766217 0.012589527928
fw 18 0.123265483114 4 -0.211822660099 203 29 0.241379310345 0.158221616138 0.00100772562478 -0.154739737264 0.00588682471529 23 6 -0.034956133024 -0.057082922835
fw 19 0.369385613401 3 0.750452079566 553 75 0.0983111111111 0.1941766231 0.000613241590695 -0.240681985694 0.00343053699911 238.5 273.5 0.175208990301 0.99113406526
fw 20 0.531570489408 8 0.497297297297 370 154 0.015601281835 0.417066226928 0.00105388702817 0.0898385683362 0.00265046070862 285 229 0.11450426248 0.4074587289608
fw 21 0.20234547065 4 -0.0169491525424 708 108 0.0606995884774 0.222462381282 0.000572677510629 -0.228733921156 0.00286935749901 87 57 -0.020116910632 0.2117847686136
fw 22 0.442708333333 5 0.527777777778 72 33 0.0661157024793 0.371310514474 0.00235744790878 0.195943636031 0.0062127875806 275 238 0.071397818859 0.331834141747
fw 23 0.151766709238 4 -0.0242214532872 289 30 0.321111111111 0.121643564471 0.000739930715922 -0.215386140118 0.00572793608471 40 53 0.030123144767 0.1911646868308
fw 24 0.257396449704 2 0.538461538462 26 13 0.153846153846 0.28741452159 0.00377068478094 0.234123237966 0.0105016376017 135 244 -0.030018071886 0.304338300496
fw 25 0.207584129111 5 -0.158940397351 1510 156 0.0620479947403 0.180216634915 0.000368005035507 -0.338783866036 0.00240300680518 90 13 0.027367494196 0.179843468685
fw 26 0.659370350067 8 0.681415929204 113 75 0.0200888888889 0.524555679894 0.00213931700983 0.355520602507 0.00472553453032 288 268 0.134814670173 0.325895326697
fw 27 0.361467228158 4 0.369263157895 2375 181 0.072494734593 0.151146087054 0.00030484758889 -0.401871691894 0.00234225260756 230 194 0.210321141104 0.771134849789
fw 28 0.184143916438 3 0.0611510791367 556 50 0.2224 0.134973043416 0.000581885844332 -0.283075020773 0.00442948993785 69 85 0.049170873022 0.3442260999097
fw 29 0.130972708779 3 0.0505731625084 1483 81 0.226032616979 0.105440678487 0.000331085191942 -0.396108283469 0.00332659195124 26 78 0.025532030292 0.4466814459774
fw 30 0.0668057903635 3 -0.205263157895 380 35 0.310204081633 0.114371095846 0.000637040489764 -0.24950197966 0.0053064020386 2 7 -0.0475653054825 0.044238821765
fw 31 0.262576523822 5 0.0316742081448 221 48 0.0959201388889 0.252850684612 0.00106886918122 -0.080756936943 0.0044011481335 141 74 0.00972583920999998 0.1124311450878
fw 32 0.257164800943 4 0.192660550459 218 44 0.112603305785 0.235772517149 0.0010632297981 -0.0969369733712 0.0048205218262 134 131 0.021392283794 0.2895975238302
fw 33 0.163171170026 6 -0.293269230769 832 112 0.0663265306122 0.205188510975 0.000509834572793 -0.265228574797 0.00271752235888 45 1 -0.042017340949 -0.028040655972
